num_agents,avg_time_to_clean,std_time,avg_clean_percentage,std_clean_percentage,avg_total_movements,std_total_movements
1,771.9,225.95252697069895,99.6,0.699205898780099,742.3,226.40183057760126
2,387.6,124.43222162196486,100.0,0.0,737.2,245.9362157597417
3,338.9,81.65979562931946,100.0,0.0,960.1,240.70749884455196
4,212.4,71.68790383011317,100.0,0.0,785.2,275.9818029427947
5,233.8,122.21638369893148,100.0,0.0,1067.2,577.0403028481729
